parameter,Sigma error prob median,Sigma error prob mean,Sigma error ratio median,Sigma error ratio mean
e_y,0.0041,0.0057,4.71,5.97
e_x,0.0141,0.0156,5.55,6.34
e_z,0.1277,0.1527,10.14,12.17
e_h,0.0062,0.0072,5.76,6.94
e_w,0.0094,0.0100,6.24,6.85
e_l,0.0184,0.0374,4.00,8.05
e_theta,0.0036,0.0040,6.17,6.29
