parameter,Sigma error prob median,Sigma error prob mean,Sigma error ratio median,Sigma error ratio mean
e_y,0.0021,0.0047,2.65,4.97
e_x,0.0170,0.0215,6.21,9.87
e_z,0.1353,0.1472,14.00,13.28
e_h,0.0057,0.0087,5.66,9.08
e_w,0.0148,0.0126,8.13,8.10
e_l,0.0126,0.0236,2.68,4.60
e_theta,0.0042,0.0042,7.22,7.14
