parameter,Sigma error prob median,Sigma error prob mean,Sigma error ratio median,Sigma error ratio mean
e_y,0.0040,0.0070,3.93,7.64
e_x,0.0089,0.0113,3.65,4.92
e_z,0.1203,0.1408,10.19,11.95
e_h,0.0052,0.0067,5.46,6.71
e_w,0.0048,0.0097,3.68,6.72
e_l,0.0183,0.0233,3.79,5.12
e_theta,0.0022,0.0021,3.76,3.73
