parameter,Sigma error prob median,Sigma error prob mean,Sigma error ratio median,Sigma error ratio mean
e_y,0.0059,0.0072,8.30,7.80
e_x,0.0189,0.0246,9.10,10.13
e_z,0.1269,0.1311,11.60,11.92
e_h,0.0042,0.0044,3.83,4.17
e_w,0.0062,0.0139,4.85,7.93
e_l,0.0260,0.0253,6.15,5.27
e_theta,0.0015,0.0031,2.74,5.03
