parameter,Level 2 mean,Level 2 median,data count
e_y,0.0706,0.0650,195
e_x,0.2056,0.1751,195
e_z,0.9345,0.5948,195
e_h,0.0954,0.0713,195
e_w,0.1260,0.1079,195
e_l,0.4382,0.3891,195
e_theta,0.0510,0.0367,195
