parameter,Level 1 mean,Level 1 median,data count
e_y,0.0680,0.0592,414
e_x,0.1948,0.1673,414
e_z,0.8690,0.4861,414
e_h,0.0875,0.0597,414
e_w,0.1215,0.1066,414
e_l,0.4141,0.3835,414
e_theta,0.0473,0.0314,414
